Date,soybean_close,soybean_meal_close,Spread,GARCH_Vol,Dynamic_Z,Position,Holding_State,Trade_Signal,Ret_ZS,Ret_ZM,Spread_Return,Strategy_Return,Cumulative_Return,Position_Change,Transaction_Cost
2023-01-03,14.8725,476.7999877929688,-0.004845540372830914,0.023492166008779746,-0.20626196711788886,0,0,0.0,,,,,,0.0,0.0
2023-01-04,14.7825,482.5,-0.01989585343541611,0.013066081172216588,-1.5227100745189148,0,0,0.0,-0.006051437216338829,0.01195472389463692,-0.015085502241450223,-0.0,1.0,0.0,0.0
2023-01-05,14.6675,488.7000122070313,-0.03735432079282619,0.02022672080962772,-1.8467808570851436,0,0,0.0,-0.007779468966683578,0.012849766232189141,-0.01748990851528371,-0.0,1.0,0.0,0.0
2023-01-06,15.015,503.1000061035156,-0.03588412418733755,0.03561333290134553,-1.0076036490811504,0,0,0.0,0.023691835691153962,0.02946591679311017,0.0014247377071595901,0.0,1.0,0.0,0.0
2023-01-09,15.035,496.7000122070313,-0.024878119778297236,0.036463208611493284,-0.6822800495526221,0,0,0.0,0.001332001332001287,-0.012721116714054403,0.010945221729199699,0.0,1.0,0.0,0.0
2023-01-10,15.1,500.8999938964844,-0.0269272693812872,0.02816151496919555,-0.9561726139641838,0,0,0.0,0.004323245759893624,0.008455771262800837,-0.002066695831302876,-0.0,1.0,0.0,0.0
2023-01-11,15.15,505.0,-0.029781836540689,0.028047571934430797,-1.0618329675849496,0,0,0.0,0.0033112582781458233,0.008185278805100005,-0.0028742748739090766,-0.0,1.0,0.0,0.0
2023-01-12,15.295,513.0,-0.032133884549875535,0.030298454452206833,-1.0605783407389289,0,0,0.0,0.009570957095709653,0.015841584158415856,-0.0024003692727819336,-0.0,1.0,0.0,0.0
2023-01-13,15.3825,513.0,-0.026429362520233646,0.03255721875768926,-0.8117819497094372,0,0,0.0,0.005720823798627039,0.0,0.005720823798627039,0.0,1.0,0.0,0.0
2023-01-17,15.3975,481.2000122070313,0.022904040967099526,0.02848377725862665,0.8041082739531241,0,0,0.0,0.0009751340809360798,-0.061988280298184595,0.04781905619442453,0.0,1.0,0.0,0.0
2023-01-18,15.245,478.1000061035156,0.017834548413593776,0.025016253236410865,0.712918447261151,0,0,0.0,-0.009904205228121521,-0.006442240284445289,-0.005035868815669524,-0.0,1.0,0.0,0.0
2023-01-19,15.1475,471.2000122070313,0.022404139159321712,0.020605737373529255,1.087276749829042,0,0,0.0,-0.0063955395211543475,-0.014432114219614434,0.004510664541686655,0.0,1.0,0.0,0.0
2023-01-20,15.065,463.7000122070313,0.029067735068998957,0.023239138850782447,1.2508094751548964,0,0,0.0,-0.005446443307476567,-0.015916807737060723,0.006581728765431848,0.0,1.0,0.0,0.0
2023-01-23,14.9025,461.8999938964844,0.02116173739713112,0.028995622156324907,0.7298252571730054,0,0,0.0,-0.010786591437105808,-0.003881859528058973,-0.007853109099586872,-0.0,1.0,0.0,0.0
2023-01-24,14.885,459.7999877929688,0.023430289776689595,0.023835103988372252,0.9830160501133058,0,0,0.0,-0.0011742996141587136,-0.004546451897087911,0.0022614085154334072,0.0,1.0,0.0,0.0
